movie,year,fandango_stars,fandango_rating,fandango_votes,fandango_diff,after_exposé
Avengers: Age of Ultron,2015,5.0,4.5,14846.0,0.5,False
Cinderella,2015,5.0,4.5,12640.0,0.5,False
Ant-Man,2015,5.0,4.5,12055.0,0.5,False
Do You Believe?,2015,5.0,4.5,1793.0,0.5,False
Hot Tub Time Machine 2,2015,3.5,3.0,1021.0,0.5,False
The Water Diviner,2015,4.5,4.0,397.0,0.5,False
Irrational Man,2015,4.0,3.5,252.0,0.5,False
Top Five,2014,4.0,3.5,3223.0,0.5,False
Shaun the Sheep Movie,2015,4.5,4.0,896.0,0.5,False
Love & Mercy,2015,4.5,4.0,864.0,0.5,False
Far From The Madding Crowd,2015,4.5,4.0,804.0,0.5,False
Black Sea,2015,4.0,3.5,218.0,0.5,False
Leviathan,2014,4.0,3.5,64.0,0.5,False
Unbroken,2014,4.5,4.1,9443.0,0.4,False
The Imitation Game,2014,5.0,4.6,8055.0,0.4,False
Taken 3,2015,4.5,4.1,6757.0,0.4,False
Ted 2,2015,4.5,4.1,6437.0,0.4,False
Southpaw,2015,5.0,4.6,5597.0,0.4,False
Night at the Museum: Secret of the Tomb,2014,4.5,4.1,5445.0,0.4,False
Pixels,2015,4.5,4.1,3886.0,0.4,False
"McFarland, USA",2015,5.0,4.6,3364.0,0.4,False
Insidious: Chapter 3,2015,4.5,4.1,3276.0,0.4,False
The Man From U.N.C.L.E.,2015,4.5,4.1,2686.0,0.4,False
Run All Night,2015,4.5,4.1,2066.0,0.4,False
Trainwreck,2015,4.5,4.1,8381.0,0.4,False
Selma,2014,5.0,4.6,7025.0,0.4,False
Ex Machina,2015,4.5,4.1,3458.0,0.4,False
Still Alice,2015,4.5,4.1,1258.0,0.4,False
Wild Tales,2014,4.5,4.1,235.0,0.4,False
The End of the Tour,2015,4.5,4.1,121.0,0.4,False
Red Army,2015,4.5,4.1,54.0,0.4,False
When Marnie Was There,2015,4.5,4.1,46.0,0.4,False
The Hunting Ground,2015,4.5,4.1,42.0,0.4,False
The Boy Next Door,2015,4.0,3.6,2800.0,0.4,False
Aloha,2015,3.5,3.1,2284.0,0.4,False
The Loft,2015,4.0,3.6,811.0,0.4,False
5 Flights Up,2015,4.0,3.6,79.0,0.4,False
Welcome to Me,2015,4.0,3.6,56.0,0.4,False
Saint Laurent,2015,3.5,3.1,43.0,0.4,False
Maps to the Stars,2015,3.5,3.1,35.0,0.4,False
I'll See You In My Dreams,2015,4.0,3.6,281.0,0.4,False
Timbuktu,2015,4.0,3.6,74.0,0.4,False
About Elly,2015,4.0,3.6,43.0,0.4,False
The Diary of a Teenage Girl,2015,4.0,3.6,38.0,0.4,False
Kingsman: The Secret Service,2015,4.5,4.2,15205.0,0.3,False
Tomorrowland,2015,4.0,3.7,8077.0,0.3,False
The Divergent Series: Insurgent,2015,4.5,4.2,7123.0,0.3,False
Annie,2014,4.5,4.2,6835.0,0.3,False
Fantastic Four,2015,3.0,2.7,6288.0,0.3,False
