Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"116715","2022-12-04 08:08:53","0","1956","<machine-learning><python><deep-learning><cnn><yolo>","0",""
"116736","2022-12-04 11:19:29","1","27","<deep-learning><regression>","0",""
"116737","2022-12-04 12:29:55","0","90","<tensorflow><automl>","1",""
"116738","2022-12-04 14:38:53","0","215","<deep-learning><tensorflow><object-detection>","3",""
"116739","2022-12-04 14:46:50","0","36","<deep-learning><image-classification><fastai>","0",""
"116743","2022-12-04 17:38:32","5","731","<anomaly-detection>","1",""
"116745","2022-12-04 21:00:57","1","42","<deep-learning><neural-network><ocr>","0",""
"116747","2022-12-04 21:04:25","0","227","<deep-learning><neural-network><keras><tensorflow><class-imbalance>","1",""
"116748","2022-12-04 23:47:17","6","1755","<neural-network><machine-learning-model><image-classification><hashing>","2",""
"116750","2022-12-05 05:34:20","2","463","<machine-learning><classification><gaussian><graphical-model><dirichlet>","1",""
"116753","2022-12-05 08:47:21","1","173","<machine-learning><regression><dataset><preprocessing>","1",""
"116755","2022-12-05 10:01:40","0","116","<data>","0",""
"116757","2022-12-05 12:16:52","0","251","<anaconda><conda>","1",""
"116761","2022-12-05 13:22:09","2","762","<scikit-learn><random-forest><overfitting><hyperparameter-tuning>","3",""
"116771","2022-12-05 22:59:54","1","519","<python><data><data-science-model><python-3.x>","1",""
"116777","2022-12-06 08:24:26","1","53","<dataset><visualization>","2",""
"116781","2022-12-06 12:18:02","0","184","<python><training><jupyter>","0",""
"116782","2022-12-06 12:55:11","6","1292","<gradient-descent>","4",""
"116790","2022-12-06 19:01:12","0","75","<deep-learning><tensorflow><tpu>","1",""
"116791","2022-12-06 19:04:54","0","294","<scikit-learn><machine-learning-model><k-means><tfidf>","1",""
"116795","2022-12-06 20:26:28","1","2182","<tensorflow><cnn><computer-vision><object-detection>","1",""
"116798","2022-12-06 22:32:31","0","222","<time-series><statsmodels>","1",""
"116799","2022-12-06 23:32:18","0","722","<python><random-forest><jupyter><lime>","0",""
"116800","2022-12-07 04:30:23","3","420","<neural-network><nlp><pytorch><transformer>","1",""
"116808","2022-12-07 09:21:50","0","380","<machine-learning><python><deep-learning><keras><nlp>","1",""
