,holiday,temp_K,temp_oC,temp_oF,rain_mm,snow_mm,cloud_cover_%,weather_main,weather_description,date_time,traffic_volume
0,N/A,288.28,15.13,59.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545
1,N/A,289.36,16.21,61.18,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516
2,N/A,289.58,16.43,61.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767
3,N/A,290.13,16.98,62.56,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026
4,N/A,291.14,17.99,64.38,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918
5,N/A,291.72,18.57,65.43,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181
6,N/A,293.17,20.02,68.04,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584
7,N/A,293.86,20.71,69.28,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015
8,N/A,294.14,20.99,69.78,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791
9,N/A,293.1,19.95,67.91,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770
10,N/A,290.97,17.82,64.08,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539
11,N/A,289.38,16.23,61.21,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784
12,N/A,288.61,15.46,59.83,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361
13,N/A,287.16,14.01,57.22,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529
14,N/A,285.45,12.3,54.14,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963
15,N/A,284.63,11.48,52.66,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506
16,N/A,283.47,10.32,50.58,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321
17,N/A,281.18,8.03,46.45,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273
18,N/A,281.09,7.94,46.29,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367
19,N/A,279.53,6.38,43.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814
20,N/A,278.62,5.47,41.85,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718
21,N/A,278.23,5.08,41.14,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673
22,N/A,278.12,4.97,40.95,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511
23,N/A,282.48,9.33,48.79,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471
24,N/A,291.97,18.82,65.88,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097
25,N/A,293.23,20.08,68.14,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887
26,N/A,294.31,21.16,70.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337
27,N/A,295.17,22.02,71.64,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692
28,N/A,295.13,21.98,71.56,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137
29,N/A,293.66,20.51,68.92,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623
30,N/A,290.65,17.5,63.5,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591
31,N/A,288.19,15.04,59.07,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898
32,N/A,287.1,13.95,57.11,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637
33,N/A,286.25,13.1,55.58,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777
34,N/A,285.26,12.11,53.8,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015
35,N/A,284.55,11.4,52.52,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598
