Data Dictionary - Column Information,,,
Column Name,Column Description,"Term, Acronym, or Code Definitions","Additional Notes 
(where applicable, include the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and information on column source)"
Boro,Borough ,,
CSD,Community School District,,
School code,Borough and School Number,,
School name,Official name of school,,
Grade,Grade in school,,
Program type,Denotes the type of program ,"Blank-No value, GEN ED-General Education, CTT-(Collaborative Team Teaching), SPEC ED-Self-Contained Special Education, G&T(Gifted and Talented)",
Core Subject (MS CORE and 9-12 ONLY),Subject of Instruction,,
Core Course (MS CORE and 9-12 ONLY),Course Name,,
Service Categrory (K-9* ONLY),Denotes the students population to teacher ration per program type,,
Number of Classes,Number of classes per grade or school ,,
Total Register,Number of students register for school,,
Average Class Size,Denotes the average class size for school,,
Size of smalles class,Denotes the smallest class size for each school,,
Size of largest class,Denotes the largest class size for each school,,
Data source,Computer System data was sourced from,,
Schoolwide pupil - teacher ratio,Pupil Teacher Ratio,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
