Data Dictionary - Column Information,,,
Column Name,Column Description,"Term, Acronym, or Code Definitions","Additional Notes 
(where applicable, include the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and information on column source)"
DBN,"District, Borough and school number",,
Name,School name,,
Schoolyear,School Year,,
fl_percent,Free lunch,,
frl_percent,Free and reduced lunch,,
total_enrollment,Total enrollment count of students for all grades by DBN/School per fiscal school year,,
prek,Total count of pre-kindergarten students by DBN/School per school year,,
k,Total count of kindergarten students by DBN/School per school year,,
grade 1,Total count of 1st grade students by DBN/School per school year,,
grade 2,Total count of 2nd grade students by DBN/School per school year,,
grade 3,Total count of 3rd grade students by DBN/School per school year,,
grade 4,Total count of 4th grade students by DBN/School per school year,,
grade 5,Total count of 5th grade students by DBN/School per school year,,
grade 6,Total count of 6th grade students by DBN/School per school year,,
grade 7,Total count of 7th grade students by DBN/School per school year,,
grade 8,Total count of 8th grade students by DBN/School per school year,,
grade 9,Total count of 9th grade students by DBN/School per school year,,
grade 10,Total count of 10th grade students by DBN/School per school year,,
grade 11,Total count of 11th grade students by DBN/School per school year,,
grade 12,Total count of 12th grade students by DBN/School per school year,,
ell_num,Total number of english language learners classes per school,,
ell_percent,Percentage of english language learner's students per school,,
sped_num,Total number of students in special education per school,,
sped_percent,Percentage of special education students per school,,
ctt_num,Total number of students in collarborative team teaching classes per school,,
selfcontained_num,Total number of students in self contained special classes per school,,
asian_num,Total number of asian students in school,,
asian_per,Percentage of asian students in school,,
black_num,Total number of black students in school,,
black_per,Percentage of black students in school,,
hispanic_num,Total number of hispanic students in school,,
hispanic_per,Percentage of hispanic students in school,,
white_num,Total number of white students in school,,
white_per,Percentage of white studenst in school,,
male_num,Total number of male students in school,,
male_per,Percentage of male students in school,,
female_num,Total number of female students in school,,
female_per,Percentage of female students in school,,
,,,
