Data Dictionary - Column Information,,,
Column Name,Column Description,"Term, Acronym, or Code Definitions","Additional Notes 
(where applicable, include the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and information on column source)"
Borough,Reflects borough statistic pertain ,,
Cohort Year,The expected year when the student will graduate high school,,
Cohort Category,The cohort year in which student graduated,,
Demographic,Students demographic information,,
Total Cohort Num,Total number of students who took test,,
Total Grads Num,Reflects the total number of students whom graduated,,
Total Grads Pct of Cohort,Reflects the total percentage of students whom graduated,,
Total Regents Num,Total number of student who took Regents,,
Total Regents Pct of Cohort,Percentage of total cohorts who passed regents exam,,
Total Regent Pct of Grads,Percentages of total Cohorts who passed regents and graduated,,
Advanced Regents Num,Total number of student who passed  advanced regents exams,,
Advanced Regents Pct of Cohort,Percentages of total Cohorts who passed advanced regents,,
Advanced Regents Pct of Grads,Percentages of total Cohorts who passed advanced regents and graduated,,
Regents w/o Advanced Num,Total number of students who passed non-advanced regents exams,,
Regents w/o Advanced Pct of Cohorts,Percentages of total Cohorts who passed non-advanced regents exams,,
Regents w/o Advanced Pct of Grads,Percentages of total Cohorts who passed non-advanced regents and graduated,,
Local Num,Total number of students received a local diploma,,
Local Pct of Cohort,Percentage of total Cohorts who received a local diploma,,
Local Pct of Grads ,Percentage of total Cohorts who graduated with a local diploma,,
Still Enrolled Num,Total cohort number of students still enrolled,,
Still Enrolled Pct of Cohort,Percentage of total Cohorts students still enrolled,,
Dropped Out Num,Total number of students who dropped out,,
Dropped Out Pct of Cohort,Percentage of total Cohorts students who dropped out,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
