Data Dictionary - Column Information,,,
Column Name,Column Description,"Term, Acronym, or Code Definitions","Additional Notes 
(where applicable, include the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and information on column source)"
dbn,DBN (District Borough Number): code used by the NYC Department of Education to uniquely identify schools,,
school_name,School's name,,
boro,Borough where school is located,,
building_code,Building Code. This may or may not match the last four digits of the DBN. This code can be used to identify schools located in the same building,,
phone_number,School's primary phone number,,
fax_number,School's fax number,,
grade_span_min,The lowest grade that will be served by the school in 2015-2016. 0K means kindergarten.,,
grade_span_max,The highest grade that will be served by the school in 2015-2016.,,
expgrade_span_min,The lowest grade the school expects to serve eventually; only non-missing when different from the lowest grade actually served in 2015-2016 (grade_span_2015_2016_min).,,
expgrade_span_max,The highest grade the school expects to serve eventually; only non-missing when different from the highest grade actually served in 2015-2016 (grade_span_2015_2016_max).,,
bus,Bus lines near the school,,
subway,Subway lines near the school,,
primary_address_line_1,Primary Street Address,,
city,"City that school is located in (""New York"" for Manhattan)",,
state_code,NY,,
zip,Zip code of school,,
website,Website for the school,,
total_students,Total number of students enrolled in the school as of the audited register in October 2013,,
campus_name,"Name of the campus the school is located on, if that high school campus has a recognized name",,
school_type,"Indicates if a school falls into any of the following categories: All Girls, CTE (Career and Technical Education), International, Specialized, New School (opened in 2014), Consortium",,
overview_paragraph,Overview written by the school,,
program_highlights,"Program highlights of the school, listed under Academic Opportunities in the HS Directory",,
language_classes,"Language classes (other than English) offered by the school, listed under Academic Opportunities in the HS Directory",,
advancedplacement_courses,"Advanced Placement courses offered by the school, listed under Academic Opportunities in the HS Directory",,
online_ap_courses,"Online Advanced Placement courses offered by the school, listed under Academic Opportunities in the HS Directory",,
online_language_courses,"Online language classes (other than English) offered by the school, listed under Academic Opportunities in the HS Directory",,
extracurricular_activities,Extracurricular activities and clubs offered by the school that do not fall under one of the Sports categories (PSAL Sports or School Sports),,
psal_sports_boys,"Male PSAL (Public School Athletics League) sports offered at the school, listed under Extracurricular Activities and Clubs in the HS Directory",,
psal_sports_girls,"Female PSAL (Public School Athletics League) sports offered at the school, listed under Extracurricular Activities and Clubs in the HS Directory",,
psal_sports_coed,"Co-ed PSAL (Public School Athletics League) sports offered at the school, listed under Extracurricular Activities and Clubs in the HS Directory",,
school_sports,Sports offered by the school outside PSAL (Public School Athletics League),,
partner_cbo,List of partnerships the school has with community-based organizations,,
partner_hospital,List of partnerships the school has for hospital outreach,,
partner_highered,List of partnerships the school has with higher education institutions,,
partner_cultural,List of partnerships the school has with cultural/arts organizations,,
partner_nonprofit,List of partnerships the school has with not-for-profit institutions,,
partner_corporate,List of partnerships the school has with corporate institutions,,
partner_financial,List of partnerships the school has with financial institutions,,
partner_other,List of other partnerships the school has that do not fall under one of the other partnership categories,,
addtl_info1,"Additional information provided by the school (1st of 2 fields), including a dress code or uniform requirement",,
addtl_info2,"Additional information provided by the school (2nd of 2 fields), including (but not limited to) extended day program, orientation, internship program, community service requirement.",,
start_time,Start time for a typical freshman schedule,,
end_time,End time for a typical freshman schedule,,
se_services,Supports for Students with Disabilities,,
ell_programs,"ELL Programs offered by the school: ESL, Dual Language, and/or Transitional Bilingual",,
school_accessibility_description,Accessibility of the site where the school is located: Functionally Accessible or Not Functionally Accessible,,
number_programs,Number of distinct programs available at the school (see program table for details). Note that admissions priorities apply for all programs unless otherwise stated in the priority.,,
priority01,Admissions priority #1,,
priority02,Admissions priority #2,,
priority03,Admissions priority #3,,
priority04,Admissions priority #4,,
priority05,Admissions priority #5,,
priority06,Admissions priority #6,,
priority07,Admissions priority #7,,
priority08,Admissions priority #8,,
priority09,Admissions priority #9,,
priority10,Admissions priority #10,,
Location 1,,,
Community Board,Community Board field indicates the New York City Community district where the building is lcocated.,,
Council District,New York City council district whre the building is located.,,
Census Tract,U.S. census tract where the building is located.,,
BIN,Building Identification Number is a unique identifier for each building in the City.,,
BBL,"Borough, Block and Lot are a unique identifier for each tax lot in the city.",,
NTA,Neighborhood Tabulation Area field indicates the New York City Neighborhood area where the building is located.,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
